MC2_NAME,MC3_NAME,CHW_PRIMARY_SUPPLIER_NAME,PRODUCT,CHW_PRIMARY_SUPPLIER_NUMBER,SKU_NAME,PURCHASE_MOQ,CHW_SKU_NUMBER,CHW_UNITS_PER_CARTON,CHW_MASTER_CASE_PACK,CHW_MASTER_CARTON_CBM
Bowls & Feeders,Bowls & Diners,"P18545-SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI",Frisco Elevated Tilted Cat Bowl,P18545,"Frisco Elevated Tilted Cat Bowl, Cream, Small: 2 cup",1000,1633350,0,4,0.034025472
"Leashes, Collars & Harnesses",Collars,CHW-Hardgoods Supplier,xPB-Test Harold's Superhero Collar,CHW-HG,"xPB-Test Harold's Superhero Collar, 8 to 12-in neck, 3/8-in wide, Animal Sketch",50,1220958,0,60,3.5396058240000006
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Püppy Dog & Cat Athletic Hoodie,P18936,"Frisco Püppy Dog & Cat Athletic Hoodie, Puppy Blue, XXX-Large",1536,2369846,0,48,0.081
Apparel,Apparel,"P18936-PETPARTY PRODUCTS CO., LTD",Frisco Love Arrow Dog Costume Accessory,P18936,"Frisco Love Arrow Dog Costume Accessory, Medium/Large",1500,1096926,0,96,0.0245
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Crewneck Dog & Cat Sweatshirt,PCA3755,"Frisco Crewneck Dog & Cat Sweatshirt, Gray, X-Large",1500,1000095803,0,50,0.054
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Crewneck Dog & Cat Sweatshirt,PCA3755,"Frisco Crewneck Dog & Cat Sweatshirt, Gray, XX-Large",1500,1000095809,0,50,0.070875
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Crewneck Dog & Cat Sweatshirt,PCA3755,"Frisco Crewneck Dog & Cat Sweatshirt, Fuchsia, Large",1500,1000095767,0,50,0.054
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Drawstring Dog & Cat Sweatshirt Hoodie,PCA3755,"Frisco Drawstring Dog & Cat Sweatshirt Hoodie, Green, X-Large",1500,1000095887,0,50,0.06
Toys,Interactive Toys,PCA20837-CA: KIDS FIRST ASIA CO LTD,"Frisco Watermelon Interactive Puzzle Dog Toy, Advanced",PCA20837,"Frisco Watermelon Interactive Puzzle Dog Toy, Advanced",2004,1000069631,0,12,0.095744
Toys,Plush Toys,"3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Capybara Plush Squeaky Dog Toy,3755,"Frisco Capybara Plush Squeaky Dog Toy, Small/Medium",1536,1329022,0,48,0.03815003944604358
Personalized & Gifting,Human Apparel,"PCA3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD",Frisco Mediumweight Waxed Canvas Dog & Cat Flannel Lined Coat,PCA3755,"Frisco Mediumweight Waxed Canvas Dog & Cat Flannel Lined Coat, Tan, XX-Large",1500,1000096427,0,50,0.070875
