CHW_SKU_NUMBER	MC2_NAME	MC3_NAME	CHW_PRIMARY_SUPPLIER_NAME	PRODUCT	CHW_PRIMARY_SUPPLIER_NUMBER	SKU_NAME	PURCHASE_MOQ	CHW_UNITS_PER_CARTON	CHW_MASTER_CASE_PACK	CHW_MASTER_CARTON_CBM	DEST	Demand
259250	Litter Accessories	Mats	3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD	Frisco Sisal Mat	3755	Frisco Sisal Mat, Medium	500	24.0	24.0	0.06971490623769559	TNY	219.3258545953368
235902	Litter Accessories	Mats	B000064-PM&J LLC - DIRECT IMPORT	Frisco Microfiber Chenille Cat Silhouette Litter Mat	B000064	Frisco Microfiber Chenille Cat Silhouette Litter Mat, Gray	480	0.0	12.0	0.089604	TNY	243.7235875143182
166438	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable	B3722	Frisco Tie Out Cable, 20-ft	200	5.0	5.0	0.0066785	TNY	204.27818489199842
166446	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Easy Grip Stake with Tie Out Cable, Large	B3722	Frisco Easy Grip Stake with Tie Out Cable, Large, 15-ft	204	6.0	6.0	0.016038	TNY	96.90153552186301
166516	Toys	Scratcher Toys	P000750-YOUNSAINT INDUSTRIAL LIMITED	Frisco Scratch & Roll Scratcher Cat Toy with Catnip	P000750	Frisco Scratch & Roll Scratcher Cat Toy with Catnip, Purple	1200	0.0	12.0	0.134064	TNY	503.6043132935245
166380	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable, Small	B3722	Frisco Tie Out Cable, Small, 15-ft	200	10.0	10.0	0.003935875	TNY	95.54746260304896
166389	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable, Medium	B3722	Frisco Tie Out Cable, Medium, 20-ft	200	8.0	8.0	0.004698	TNY	94.92273118870315
166447	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Easy Grip Stake with Tie Out Cable, Large	B3722	Frisco Easy Grip Stake with Tie Out Cable, Large, 30-ft	204	6.0	6.0	0.0191565	TNY	428.77992646986183
166458	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Dome Stake	B3722	Frisco Dome Stake, 24-in	200	4.0	4.0	0.02578125	TNY	104.16383512598392
166457	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Dome Stake	B3722	Frisco Dome Stake, 20-in	200	4.0	4.0	0.01725	TNY	93.52299010954268
166390	Leashes, Collars & Harnesses	Leashes	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Tie Out Cable, Medium	B3722	Frisco Tie Out Cable, Medium, 30-ft	204	6.0	6.0	0.005301	TNY	229.64455962717963
149811	Waste Management	Potty Pads & Diapers	P000486-TIANJIN YIYI HYGIENE PRODUCTS CO. LTD	Frisco Male Dog Wraps	P000486	Frisco Disposable Male Dog Wraps, Medium, 12 count	204	12.0	12.0	0.03777395815070639	TNY	125.70208208062542
166334	Waste Management	Poop Scoopers	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Rake & Spade Set with Dustpan	B3722	Frisco Rake & Spade Set with Dustpan, Small	102	6.0	6.0	0.034621375	TNY	65.51372011044845
862726	Waste Management	Potty Pads & Diapers	B3722-CAMBODIA JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.,	Frisco Indoor Dog Grass Potty Replacement Pad	B3722	Frisco Indoor Dog Grass Potty Replacement Pad, Fits 20 x 20-in Tray	108	0.0	12.0	0.056889	TNY	50.76016976490052
175221	Bowls & Feeders	Bowls & Diners	3722-JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.	Frisco Stainless Steel Bowl	3722	Frisco Stainless Steel Bowl, Medium: 4 cup, 2 count	1504	0.0	16.0	0.037125	TNY	1301.9676821605572
140151	Beds & Furniture	Furniture	7701-TIANJIN QINGQUAN PET PRODUCTS CO. LTD	Frisco 21-in Sisal Cat Scratching Post with Toy	7701	Frisco 21-in Sisal Cat Scratching Post with Toy, Brown, 1 count	100	1.0	1.0	0.009900133650866073	TNY	51.564035544318365
144811	Beds & Furniture	Beds	B000064-PM&J LLC - DIRECT IMPORT	Frisco Sherpa Cat & Dog Throw Blanket	B000064	Frisco Sherpa Cat & Dog Throw Blanket, Light Gray Basketweave, Small	288	0.0	48.0	0.16900082134177416	TNY	156.90390412808958
204463	Bowls & Feeders	Bowls & Diners	P000579-GO FETCH, LLC	Frisco Saucer Cat Bowl	P000579	Frisco Saucer Cat Bowl, Gray, X-Small: 0.5 cup, 1 count	500	0.0	24.0	0.008130032127000001	TNY	1593.8060173573247
204461	Bowls & Feeders	Bowls & Diners	P000579-GO FETCH, LLC	Frisco Saucer Cat Bowl	P000579	Frisco Saucer Cat Bowl, Red, X-Small: 0.5 cup, 1 count	500	0.0	24.0	0.008130032127000001	TNY	698.5464174152182
206880	Beauty & Grooming	Nail Clipper, Grinder & Accessories	P18360-PETENGREAT CO LTD	Frisco Nail Clippers for Cats & Small Dogs	P18360	Frisco Nail Clippers for Cats & Small Dogs	864	288.0	288.0	0.030152197759999996	TNY	4082.6999649764894
206892	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Deshedding Cat & Dog Brush	P18360	Frisco Deshedding Cat & Dog Brush, Medium, Short to Medium Hair	720	72.0	72.0	0.033454204109999996	TNY	1224.390177222206
949934	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Slicker Cat Brush	P18360	Frisco Slicker Cat Brush	1440	0.0	72.0	0.05273542159600001	TNY	731.504004742771
206857	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Cat & Dog Combo Brush, Mini	P18360	Frisco Cat & Dog Combo Brush, Mini	720	72.0	72.0	0.047622158374999994	TNY	301.9462249406672
206851	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Bone Dog Curry Brush	P18360	Frisco Bone Dog Curry Brush	720	72.0	72.0	0.03147896929999999	TNY	364.05999623544636
206859	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Cat & Dog Bristle Brush	P18360	Frisco Cat & Dog Bristle Brush, One Size	720	48.0	48.0	0.027783307907999998	TNY	362.26557914009186
206866	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Slicker Dog Brush	P18360	Frisco Slicker Dog Brush, Large	720	48.0	48.0	0.045590211072000016	TNY	320.93692479552436
235899	Beauty & Grooming	Grooming Accessories	B000064-PM&J LLC - DIRECT IMPORT	Frisco Microfiber Chenille Shammy Towel	B000064	Frisco Microfiber Chenille Shammy Towel, Gray, Large	504	0.0	36.0	0.135456	TNY	252.869005001656
206845	Beauty & Grooming	Brushes & Combs	3722-JIANG SU ZHONG HENG PET ARTICLES JOINT-STOCK CO.	Frisco Grooming Glove, Right Hand	3722	Frisco Grooming Glove, Right Hand	500	100.0	100.0	0.05075	TNY	460.5493189604492
269032	Beauty & Grooming	Grooming Accessories	B000064-PM&J LLC - DIRECT IMPORT	Frisco Embroidered Bones Microfiber Dog Bath Towel	B000064	Frisco Embroidered Bones Microfiber Dog Bath Towel, Gray, Large	480	0.0	60.0	0.13034	TNY	236.06750789130714
206871	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Shedding Rake Dog Brush	P18360	Frisco Shedding Rake Dog Brush, One Size	720	72.0	72.0	0.034082593125	TNY	328.2810273834061
206895	Beauty & Grooming	Brushes & Combs	P18360-PETENGREAT CO LTD	Frisco Shedding Blade Dog Brush	P18360	Frisco Shedding Blade Dog Brush, One Size	720	72.0	72.0	0.071702385678	TNY	317.08215039033416
206915	Beauty & Grooming	Clippers, Blades and Shears	P18360-PETENGREAT CO LTD	Frisco Cat & Dog Hair Lint Roller Refill	P18360	Frisco Cat & Dog Hair Lint Roller Refill, Regular, 60 Sheets	720	72.0	72.0	0.0537953325	TNY	333.31893754492626
163747	Beds & Furniture	Furniture	B3755-HANGZHOU TIANYUAN PET PRODUCTS CO., LTD.(Cambodia)	Frisco 28-in Faux Fur Cat Tree	B3755	Frisco 28-in Faux Fur Cat Tree, Gray	100	1.0	1.0	0.045333	TNY	53.33555571710795
215996	Bowls & Feeders	Storage & Accessories	P18545-SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI	Frisco Silicone Pet Food Can Cover, 2 Pack	P18545	Frisco Silicone Pet Food Can Cover, 2 Pack	528	0.0	48.0	0.0106	TNY	8685.674908062541
215993	Bowls & Feeders	Storage & Accessories	P18545-SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI	Frisco Silicone Dog & Cat Food Mat	P18545	Frisco Silicone Dog & Cat Food Mat, Gray, Medium	504	0.0	36.0	0.03340575	TNY	881.8698246446987
215994	Bowls & Feeders	Storage & Accessories	P18545-SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI	Frisco Silicone Dog & Cat Food Mat	P18545	Frisco Silicone Dog & Cat Food Mat, Teal, Medium	504	0.0	36.0	0.03340575	TNY	259.57749976891836
216019	Bowls & Feeders	Bowls & Diners	P18545-SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI	Frisco Stainless Steel Bowl with Elevated Stand	P18545	Frisco Stainless Steel Bowl with Elevated Stand, Cream, Medium: 3 cup, 1 count	500	0.0	4.0	0.0599488	TNY	214.78606174458787
216038	Bowls & Feeders	Bowls & Diners	P18545-SUPER DESIGN MANUFACTURE CO ., LTD ZHUHAI	Frisco Silicone Collapsible Travel Bowl with Carabiner	P18545	Frisco Silicone Collapsible Travel Bowl with Carabiner, Teal, Small: 1.5 cup	540	0.0	60.0	0.01442688	TNY	261.1126741140936
